门店ID,门店版本ID,生效起始日期,生效截止日期,当前版本标记,门店名称,门店编码,POS门店编码,财务门店编码,外卖平台门店编码,品牌线,直营加盟类型,省份,城市,区域,店型,商圈,城市层级,面积_平方米,座位数,到店能力等级,开业日期,闭店日期,营业状态,是否90天内新店,新店标签,店长姓名,区域经理,门店类型
S00015,S00015_V1,2022-12-05,9999-12-31,1,天津CBD0015店,天天00015,POS000015,FN000015,WM000015,主品牌,直营,天津,天津,文教区,标准店,CBD,新一线,87,34,B,2022-12-05,,营业中,FALSE,非新店,杨一,钱一,写字楼店
S00016,S00016_V1,2021-06-08,9999-12-31,1,嘉兴交通枢纽0016店,浙嘉00016,POS000016,FN000016,WM000016,主品牌,加盟,浙江,嘉兴,文教区,外卖店,交通枢纽,二线,31,0,C,2021-06-08,,营业中,FALSE,非新店,秦一,钱一,外卖卫星店
S00017,S00017_V1,2023-12-17,9999-12-31,1,大连购物中心0017店,辽大00017,POS000017,FN000017,WM000017,主品牌,直营,辽宁,大连,新兴区,标准店,购物中心,二线,107,41,B,2023-12-17,,营业中,FALSE,非新店,尤一,钱一,商场店
S00018,S00018_V1,2025-05-23,9999-12-31,1,北京购物中心0018店,北北00018,POS000018,FN000018,WM000018,主品牌,加盟,北京,北京,新兴区,快取店,购物中心,一线,35,5,C,2025-05-23,,营业中,FALSE,非新店,许一,钱一,快取店
S00019,S00019_V1,2023-12-29,9999-12-31,1,武汉校园0019店,湖武00019,POS000019,FN000019,WM000019,子品牌-精品,加盟,湖北,武汉,商业区,快取店,校园,新一线,40,4,C,2023-12-29,,营业中,FALSE,非新店,何一,钱一,快取店
S00020,S00020_V1,2023-09-18,9999-12-31,1,无锡写字楼0020店,江无00020,POS000020,FN000020,WM000020,主品牌,加盟,江苏,无锡,新兴区,快取店,写字楼,二线,41,6,C,2023-09-18,,营业中,FALSE,非新店,吕一,钱一,快取店
S00021,S00021_V1,2025-04-28,9999-12-31,1,南宁社区0021店,广南00021,POS000021,FN000021,WM000021,主品牌,加盟,广西,南宁,文教区,标准店,社区,二线,138,40,B,2025-04-28,,营业中,FALSE,非新店,施一,钱一,社区店
S00022,S00022_V1,2025-03-23,9999-12-31,1,宁波购物中心0022店,浙宁00022,POS000022,FN000022,WM000022,主品牌,加盟,浙江,宁波,老城区,标准店,购物中心,新一线,134,37,B,2025-03-23,,营业中,FALSE,非新店,张一,钱一,商场店
S00023,S00023_V1,2023-11-30,9999-12-31,1,济南社区0023店,山济00023,POS000023,FN000023,WM000023,子品牌-精品,直营,山东,济南,文教区,标准店,社区,二线,128,46,B,2023-11-30,,营业中,FALSE,非新店,孔一,钱一,社区店
S00024,S00024_V1,2023-03-03,9999-12-31,1,无锡交通枢纽0024店,江无00024,POS000024,FN000024,WM000024,主品牌,直营,江苏,无锡,文教区,外卖店,交通枢纽,二线,22,0,C,2023-03-03,,营业中,FALSE,非新店,曹一,钱一,外卖卫星店
S00025,S00025_V1,2021-06-02,9999-12-31,1,无锡购物中心0025店,江无00025,POS000025,FN000025,WM000025,子品牌-便利,直营,江苏,无锡,老城区,外卖店,购物中心,二线,23,0,C,2021-06-02,,营业中,FALSE,非新店,严一,钱一,外卖卫星店
S00026,S00026_V1,2022-12-07,9999-12-31,1,常州购物中心0026店,江常00026,POS000026,FN000026,WM000026,主品牌,直营,江苏,常州,文教区,快取店,购物中心,二线,33,0,C,2022-12-07,,营业中,FALSE,非新店,华一,钱一,快取店
S00027,S00027_V1,2021-10-26,9999-12-31,1,南京交通枢纽0027店,江南00027,POS000027,FN000027,WM000027,子品牌-便利,直营,江苏,南京,老城区,快取店,交通枢纽,新一线,41,2,C,2021-10-26,,营业中,FALSE,非新店,金一,钱一,快取店
S00028,S00028_V1,2021-06-17,9999-12-31,1,东莞社区0028店,广东00028,POS000028,FN000028,WM000028,主品牌,加盟,广东,东莞,新兴区,校园店,社区,新一线,63,28,B,2021-06-17,,营业中,FALSE,非新店,魏一,钱一,学校店
S00029,S00029_V1,2022-02-04,9999-12-31,1,宁波购物中心0029店,浙宁00029,POS000029,FN000029,WM000029,主品牌,加盟,浙江,宁波,核心区,标准店,购物中心,新一线,142,52,B,2022-02-04,,营业中,FALSE,非新店,陶一,钱一,商场店
S00030,S00030_V1,2024-10-30,9999-12-31,1,北京CBD0030店,北北00030,POS000030,FN000030,WM000030,主品牌,直营,北京,北京,核心区,标准店,CBD,一线,116,44,B,2024-10-30,,营业中,FALSE,非新店,姜一,钱一,写字楼店
S00031,S00031_V1,2023-11-29,9999-12-31,1,武汉写字楼0031店,湖武00031,POS000031,FN000031,WM000031,主品牌,直营,湖北,武汉,核心区,标准店,写字楼,新一线,82,33,B,2023-11-29,,营业中,FALSE,非新店,戚一,谢一,写字楼店
S00032,S00032_V1,2021-08-10,9999-12-31,1,长沙校园0032店,湖长00032,POS000032,FN000032,WM000032,主品牌,加盟,湖南,长沙,商业区,外卖店,校园,新一线,39,0,C,2021-08-10,,营业中,FALSE,非新店,邹一,谢一,外卖卫星店
S00033,S00033_V1,2025-08-05,9999-12-31,1,长春写字楼0033店,吉长00033,POS000033,FN000033,WM000033,主品牌,加盟,吉林,长春,新兴区,标准店,写字楼,二线,132,41,B,2025-08-05,,营业中,FALSE,非新店,喻一,谢一,写字楼店
S00034,S00034_V1,2021-08-12,9999-12-31,1,贵阳交通枢纽0034店,贵贵00034,POS000034,FN000034,WM000034,主品牌,加盟,贵州,贵阳,文教区,标准店,交通枢纽,二线,114,51,B,2021-08-12,,营业中,FALSE,非新店,柏一,谢一,交通店
S00035,S00035_V1,2025-07-18,9999-12-31,1,哈尔滨社区0035店,黑哈00035,POS000035,FN000035,WM000035,主品牌,直营,黑龙江,哈尔滨,核心区,旗舰店,社区,二线,204,73,A,2025-07-18,,营业中,FALSE,非新店,窦一,谢一,旗舰店
S00036,S00036_V1,2023-07-16,9999-12-31,1,兰州交通枢纽0036店,甘兰00036,POS000036,FN000036,WM000036,主品牌,直营,甘肃,兰州,商业区,快取店,交通枢纽,三线,39,9,C,2023-07-16,,营业中,FALSE,非新店,章一,谢一,快取店
S00037,S00037_V1,2022-05-16,9999-12-31,1,广州社区0037店,广广00037,POS000037,FN000037,WM000037,主品牌,直营,广东,广州,老城区,外卖店,社区,一线,29,0,C,2022-05-16,,营业中,FALSE,非新店,云一,谢一,外卖卫星店
S00038,S00038_V1,2021-02-22,9999-12-31,1,广州交通枢纽0038店,广广00038,POS000038,FN000038,WM000038,主品牌,加盟,广东,广州,商业区,外卖店,交通枢纽,一线,39,0,C,2021-02-22,,营业中,FALSE,非新店,苏一,谢一,外卖卫星店
S00039,S00039_V1,2025-04-23,9999-12-31,1,天津社区0039店,天天00039,POS000039,FN000039,WM000039,主品牌,加盟,天津,天津,商业区,外卖店,社区,新一线,38,0,C,2025-04-23,,营业中,FALSE,非新店,潘一,谢一,外卖卫星店
S00040,S00040_V1,2023-01-31,9999-12-31,1,天津购物中心0040店,天天00040,POS000040,FN000040,WM000040,主品牌,加盟,天津,天津,新兴区,快取店,购物中心,新一线,49,6,C,2023-01-31,,营业中,FALSE,非新店,葛一,谢一,快取店
S00041,S00041_V1,2022-03-12,9999-12-31,1,北京街边店0041店,北北00041,POS000041,FN000041,WM000041,主品牌,直营,北京,北京,文教区,标准店,街边店,一线,99,59,B,2022-03-12,,营业中,FALSE,非新店,奚一,谢一,社区店
S00042,S00042_V1,2023-05-05,9999-12-31,1,嘉兴交通枢纽0042店,浙嘉00042,POS000042,FN000042,WM000042,主品牌,直营,浙江,嘉兴,老城区,快取店,交通枢纽,二线,47,0,C,2023-05-05,,营业中,FALSE,非新店,范一,谢一,快取店
S00043,S00043_V1,2021-07-01,9999-12-31,1,宁波购物中心0043店,浙宁00043,POS000043,FN000043,WM000043,主品牌,加盟,浙江,宁波,老城区,标准店,购物中心,新一线,116,41,B,2021-07-01,,营业中,FALSE,非新店,彭一,谢一,商场店
S00044,S00044_V1,2021-06-13,9999-12-31,1,佛山购物中心0044店,广佛00044,POS000044,FN000044,WM000044,主品牌,直营,广东,佛山,新兴区,标准店,购物中心,新一线,86,54,B,2021-06-13,,营业中,FALSE,非新店,郎一,谢一,商场店
S00045,S00045_V1,2025-07-16,9999-12-31,1,北京交通枢纽0045店,北北00045,POS000045,FN000045,WM000045,子品牌-精品,直营,北京,北京,老城区,外卖店,交通枢纽,一线,39,0,C,2025-07-16,,营业中,FALSE,非新店,鲁一,谢一,外卖卫星店
S00046,S00046_V1,2023-10-18,9999-12-31,1,南京交通枢纽0046店,江南00046,POS000046,FN000046,WM000046,主品牌,直营,江苏,南京,文教区,标准店,交通枢纽,新一线,104,42,B,2023-10-18,,营业中,FALSE,非新店,韦一,谢一,交通店
S00047,S00047_V1,2025-06-27,9999-12-31,1,杭州社区0047店,浙杭00047,POS000047,FN000047,WM000047,主品牌,加盟,浙江,杭州,商业区,标准店,社区,新一线,136,45,B,2025-06-27,,营业中,FALSE,非新店,昌一,谢一,社区店
S00048,S00048_V1,2021-09-05,9999-12-31,1,长春购物中心0048店,吉长00048,POS000048,FN000048,WM000048,主品牌,直营,吉林,长春,核心区,校园店,购物中心,二线,49,28,B,2021-09-05,,营业中,FALSE,非新店,马一,谢一,学校店
S00049,S00049_V1,2024-09-30,9999-12-31,1,昆明购物中心0049店,云昆00049,POS000049,FN000049,WM000049,主品牌,加盟,云南,昆明,文教区,标准店,购物中心,二线,118,51,B,2024-09-30,,营业中,FALSE,非新店,苗一,谢一,商场店
S00050,S00050_V1,2021-09-28,9999-12-31,1,温州交通枢纽0050店,浙温00050,POS000050,FN000050,WM000050,主品牌,直营,浙江,温州,新兴区,标准店,交通枢纽,二线,115,39,B,2021-09-28,,营业中,FALSE,非新店,凤一,谢一,交通店
S00051,S00051_V1,2023-10-23,9999-12-31,1,上海写字楼0051店,上上00051,POS000051,FN000051,WM000051,主品牌,加盟,上海,上海,新兴区,快取店,写字楼,一线,46,3,C,2023-10-23,,营业中,FALSE,非新店,花一,谢一,快取店
S00052,S00052_V1,2025-03-31,9999-12-31,1,上海社区0052店,上上00052,POS000052,FN000052,WM000052,主品牌,直营,上海,上海,新兴区,标准店,社区,一线,85,55,B,2025-03-31,,营业中,FALSE,非新店,方一,谢一,社区店
S00053,S00053_V1,2021-06-30,9999-12-31,1,武汉校园0053店,湖武00053,POS000053,FN000053,WM000053,主品牌,直营,湖北,武汉,老城区,快取店,校园,新一线,25,6,C,2021-06-30,,营业中,FALSE,非新店,俞一,谢一,快取店
S00054,S00054_V1,2024-09-13,9999-12-31,1,泉州交通枢纽0054店,福泉00054,POS000054,FN000054,WM000054,主品牌,直营,福建,泉州,商业区,外卖店,交通枢纽,二线,31,0,C,2024-09-13,,营业中,FALSE,非新店,任一,谢一,外卖卫星店
S00055,S00055_V1,2021-05-11,9999-12-31,1,广州写字楼0055店,广广00055,POS000055,FN000055,WM000055,主品牌,加盟,广东,广州,核心区,外卖店,写字楼,一线,22,0,C,2021-05-11,,营业中,FALSE,非新店,袁一,谢一,外卖卫星店
S00056,S00056_V1,2021-08-22,9999-12-31,1,昆明写字楼0056店,云昆00056,POS000056,FN000056,WM000056,子品牌-精品,直营,云南,昆明,老城区,标准店,写字楼,二线,80,33,B,2021-08-22,,营业中,FALSE,非新店,柳一,谢一,写字楼店
S00057,S00057_V1,2023-06-13,9999-12-31,1,珠海购物中心0057店,广珠00057,POS000057,FN000057,WM000057,子品牌-精品,加盟,广东,珠海,老城区,标准店,购物中心,二线,87,31,B,2023-06-13,,营业中,FALSE,非新店,唐一,谢一,商场店
S00058,S00058_V1,2023-01-25,9999-12-31,1,深圳购物中心0058店,广深00058,POS000058,FN000058,WM000058,子品牌-便利,直营,广东,深圳,文教区,旗舰店,购物中心,一线,221,97,A,2023-01-25,,营业中,FALSE,非新店,罗一,谢一,旗舰店
S00059,S00059_V1,2021-06-08,9999-12-31,1,长沙写字楼0059店,湖长00059,POS000059,FN000059,WM000059,主品牌,直营,湖南,长沙,老城区,快取店,写字楼,新一线,30,3,C,2021-06-08,,营业中,FALSE,非新店,薛一,谢一,快取店
S00060,S00060_V1,2024-08-17,9999-12-31,1,成都CBD0060店,四成00060,POS000060,FN000060,WM000060,主品牌,加盟,四川,成都,商业区,标准店,CBD,新一线,128,31,B,2024-08-17,,营业中,FALSE,非新店,伍一,谢一,写字楼店
S00061,S00061_V1,2022-12-10,9999-12-31,1,合肥购物中心0061店,安合00061,POS000061,FN000061,WM000061,主品牌,加盟,安徽,合肥,老城区,标准店,购物中心,二线,120,59,B,2022-12-10,,营业中,FALSE,非新店,余一,米一,商场店
S00062,S00062_V1,2022-06-03,9999-12-31,1,嘉兴购物中心0062店,浙嘉00062,POS000062,FN000062,WM000062,主品牌,加盟,浙江,嘉兴,商业区,外卖店,购物中心,二线,22,0,C,2022-06-03,,营业中,FALSE,非新店,贝一,米一,外卖卫星店
S00063,S00063_V1,2022-03-02,9999-12-31,1,苏州交通枢纽0063店,江苏00063,POS000063,FN000063,WM000063,主品牌,直营,江苏,苏州,老城区,外卖店,交通枢纽,新一线,24,0,C,2022-03-02,,营业中,FALSE,非新店,姚一,米一,外卖卫星店
S00064,S00064_V1,2024-11-08,9999-12-31,1,合肥购物中心0064店,安合00064,POS000064,FN000064,WM000064,子品牌-精品,加盟,安徽,合肥,文教区,标准店,购物中心,二线,130,55,B,2024-11-08,,营业中,FALSE,非新店,孟一,米一,商场店
S00065,S00065_V1,2021-11-30,9999-12-31,1,武汉购物中心0065店,湖武00065,POS000065,FN000065,WM000065,主品牌,加盟,湖北,武汉,新兴区,快取店,购物中心,新一线,25,9,C,2021-11-30,,营业中,FALSE,非新店,顾一,米一,快取店
S00066,S00066_V1,2025-02-08,9999-12-31,1,北京CBD0066店,北北00066,POS000066,FN000066,WM000066,主品牌,直营,北京,北京,老城区,标准店,CBD,一线,96,43,B,2025-02-08,,营业中,FALSE,非新店,尹一,米一,写字楼店
S00067,S00067_V1,2021-08-10,9999-12-31,1,武汉CBD0067店,湖武00067,POS000067,FN000067,WM000067,主品牌,直营,湖北,武汉,老城区,快取店,CBD,新一线,47,8,C,2021-08-10,,营业中,FALSE,非新店,江一,米一,快取店
S00068,S00068_V1,2025-06-29,9999-12-31,1,北京社区0068店,北北00068,POS000068,FN000068,WM000068,主品牌,直营,北京,北京,核心区,标准店,社区,一线,85,56,B,2025-06-29,,营业中,FALSE,非新店,钟一,米一,社区店
S00069,S00069_V1,2023-02-16,9999-12-31,1,深圳CBD0069店,广深00069,POS000069,FN000069,WM000069,主品牌,直营,广东,深圳,核心区,外卖店,CBD,一线,24,0,C,2023-02-16,,营业中,FALSE,非新店,赵二,米一,外卖卫星店
S00070,S00070_V1,2023-11-19,9999-12-31,1,南通购物中心0070店,江南00070,POS000070,FN000070,WM000070,子品牌-精品,直营,江苏,南通,核心区,旗舰店,购物中心,二线,334,76,A,2023-11-19,,营业中,FALSE,非新店,钱二,米一,旗舰店
S00071,S00071_V1,2023-06-11,9999-12-31,1,武汉购物中心0071店,湖武00071,POS000071,FN000071,WM000071,主品牌,直营,湖北,武汉,文教区,标准店,购物中心,新一线,148,49,B,2023-06-11,,营业中,FALSE,非新店,孙二,米一,商场店
S00072,S00072_V1,2024-01-21,9999-12-31,1,重庆购物中心0072店,重重00072,POS000072,FN000072,WM000072,主品牌,直营,重庆,重庆,老城区,标准店,购物中心,新一线,105,47,B,2024-01-21,,营业中,FALSE,非新店,李二,米一,商场店
S00073,S00073_V1,2025-08-08,9999-12-31,1,珠海购物中心0073店,广珠00073,POS000073,FN000073,WM000073,主品牌,加盟,广东,珠海,新兴区,标准店,购物中心,二线,97,48,B,2025-08-08,,营业中,FALSE,非新店,周二,米一,商场店
S00074,S00074_V1,2021-12-25,9999-12-31,1,南昌街边店0074店,江南00074,POS000074,FN000074,WM000074,主品牌,直营,江西,南昌,新兴区,标准店,街边店,二线,140,41,B,2021-12-25,,营业中,FALSE,非新店,吴二,米一,夜市店
S00075,S00075_V1,2024-07-16,9999-12-31,1,太原购物中心0075店,山太00075,POS000075,FN000075,WM000075,主品牌,直营,山西,太原,商业区,标准店,购物中心,二线,104,49,B,2024-07-16,,营业中,FALSE,非新店,郑二,米一,商场店
S00076,S00076_V1,2022-09-18,9999-12-31,1,乌鲁木齐CBD0076店,新乌00076,POS000076,FN000076,WM000076,主品牌,加盟,新疆,乌鲁木齐,商业区,标准店,CBD,三线,148,36,B,2022-09-18,,营业中,FALSE,非新店,王二,米一,写字楼店
S00077,S00077_V1,2025-05-05,9999-12-31,1,天津写字楼0077店,天天00077,POS000077,FN000077,WM000077,主品牌,直营,天津,天津,文教区,快取店,写字楼,新一线,38,0,C,2025-05-05,,营业中,FALSE,非新店,冯二,米一,快取店
S00078,S00078_V1,2021-07-08,9999-12-31,1,海口CBD0078店,海海00078,POS000078,FN000078,WM000078,主品牌,直营,海南,海口,新兴区,外卖店,CBD,二线,32,0,C,2021-07-08,,营业中,FALSE,非新店,陈二,米一,外卖卫星店
S00079,S00079_V1,2025-04-27,9999-12-31,1,贵阳街边店0079店,贵贵00079,POS000079,FN000079,WM000079,子品牌-精品,直营,贵州,贵阳,老城区,标准店,街边店,二线,147,33,B,2025-04-27,,营业中,FALSE,非新店,褚二,米一,社区店
S00080,S00080_V1,2023-04-16,9999-12-31,1,乌鲁木齐CBD0080店,新乌00080,POS000080,FN000080,WM000080,子品牌-精品,直营,新疆,乌鲁木齐,老城区,快取店,CBD,三线,38,9,C,2023-04-16,,营业中,FALSE,非新店,卫二,米一,快取店
S00081,S00081_V1,2022-07-02,9999-12-31,1,嘉兴CBD0081店,浙嘉00081,POS000081,FN000081,WM000081,主品牌,直营,浙江,嘉兴,老城区,校园店,CBD,二线,66,25,B,2022-07-02,,营业中,FALSE,非新店,蒋二,米一,学校店
S00082,S00082_V1,2023-04-15,9999-12-31,1,哈尔滨CBD0082店,黑哈00082,POS000082,FN000082,WM000082,主品牌,直营,黑龙江,哈尔滨,新兴区,外卖店,CBD,二线,25,0,C,2023-04-15,,营业中,FALSE,非新店,沈二,米一,外卖卫星店
S00083,S00083_V1,2023-12-05,9999-12-31,1,宁波校园0083店,浙宁00083,POS000083,FN000083,WM000083,主品牌,加盟,浙江,宁波,商业区,快取店,校园,新一线,27,4,C,2023-12-05,,营业中,FALSE,非新店,韩二,米一,快取店
S00084,S00084_V1,2023-11-03,9999-12-31,1,重庆社区0084店,重重00084,POS000084,FN000084,WM000084,主品牌,直营,重庆,重庆,商业区,标准店,社区,新一线,129,42,B,2023-11-03,,营业中,FALSE,非新店,杨二,米一,社区店
S00085,S00085_V1,2022-08-26,9999-12-31,1,南京街边店0085店,江南00085,POS000085,FN000085,WM000085,主品牌,加盟,江苏,南京,老城区,快取店,街边店,新一线,28,6,C,2022-08-26,,营业中,FALSE,非新店,秦二,米一,快取店
S00086,S00086_V1,2023-11-26,9999-12-31,1,无锡写字楼0086店,江无00086,POS000086,FN000086,WM000086,主品牌,加盟,江苏,无锡,老城区,外卖店,写字楼,二线,33,0,C,2023-11-26,,营业中,FALSE,非新店,尤二,米一,外卖卫星店
S00087,S00087_V1,2024-06-10,9999-12-31,1,广州写字楼0087店,广广00087,POS000087,FN000087,WM000087,主品牌,加盟,广东,广州,商业区,外卖店,写字楼,一线,35,0,C,2024-06-10,,营业中,FALSE,非新店,许二,米一,外卖卫星店
S00088,S00088_V1,2023-03-31,9999-12-31,1,烟台社区0088店,山烟00088,POS000088,FN000088,WM000088,主品牌,直营,山东,烟台,商业区,标准店,社区,三线,137,47,B,2023-03-31,,营业中,FALSE,非新店,何二,米一,社区店
S00089,S00089_V1,2025-05-16,9999-12-31,1,北京街边店0089店,北北00089,POS000089,FN000089,WM000089,主品牌,加盟,北京,北京,商业区,外卖店,街边店,一线,34,0,C,2025-05-16,,营业中,FALSE,非新店,吕二,米一,外卖卫星店
S00090,S00090_V1,2022-10-30,9999-12-31,1,东莞写字楼0090店,广东00090,POS000090,FN000090,WM000090,主品牌,加盟,广东,东莞,老城区,快取店,写字楼,新一线,33,2,C,2022-10-30,,营业中,FALSE,非新店,施二,米一,快取店
S00091,S00091_V1,2022-04-14,9999-12-31,1,重庆购物中心0091店,重重00091,POS000091,FN000091,WM000091,主品牌,直营,重庆,重庆,老城区,校园店,购物中心,新一线,68,18,B,2022-04-14,,营业中,FALSE,非新店,张二,孔二,学校店
S00092,S00092_V1,2024-01-05,9999-12-31,1,珠海写字楼0092店,广珠00092,POS000092,FN000092,WM000092,主品牌,加盟,广东,珠海,老城区,标准店,写字楼,二线,146,35,B,2024-01-05,,营业中,FALSE,非新店,曹二,孔二,写字楼店
S00093,S00093_V1,2024-12-18,9999-12-31,1,青岛写字楼0093店,山青00093,POS000093,FN000093,WM000093,主品牌,加盟,山东,青岛,老城区,标准店,写字楼,新一线,114,58,B,2024-12-18,,营业中,FALSE,非新店,严二,孔二,写字楼店
S00094,S00094_V1,2024-12-23,9999-12-31,1,郑州社区0094店,河郑00094,POS000094,FN000094,WM000094,主品牌,直营,河南,郑州,老城区,校园店,社区,新一线,66,24,B,2024-12-23,,营业中,FALSE,非新店,华二,孔二,学校店
S00095,S00095_V1,2023-11-07,9999-12-31,1,福州购物中心0095店,福福00095,POS000095,FN000095,WM000095,主品牌,直营,福建,福州,商业区,快取店,购物中心,二线,36,9,C,2023-11-07,,营业中,FALSE,非新店,金二,孔二,快取店
S00096,S00096_V1,2022-03-07,9999-12-31,1,北京购物中心0096店,北北00096,POS000096,FN000096,WM000096,主品牌,直营,北京,北京,文教区,标准店,购物中心,一线,89,36,B,2022-03-07,,营业中,FALSE,非新店,魏二,孔二,商场店
S00097,S00097_V1,2024-06-10,9999-12-31,1,宁波CBD0097店,浙宁00097,POS000097,FN000097,WM000097,主品牌,加盟,浙江,宁波,老城区,外卖店,CBD,新一线,25,0,C,2024-06-10,,营业中,FALSE,非新店,陶二,孔二,外卖卫星店
S00098,S00098_V1,2024-04-05,9999-12-31,1,郑州购物中心0098店,河郑00098,POS000098,FN000098,WM000098,主品牌,加盟,河南,郑州,新兴区,标准店,购物中心,新一线,128,39,B,2024-04-05,,营业中,FALSE,非新店,姜二,孔二,商场店
S00099,S00099_V1,2023-11-28,9999-12-31,1,珠海社区0099店,广珠00099,POS000099,FN000099,WM000099,子品牌-便利,直营,广东,珠海,新兴区,快取店,社区,二线,31,9,C,2023-11-28,,营业中,FALSE,非新店,戚二,孔二,快取店
S00100,S00100_V1,2022-08-07,9999-12-31,1,天津写字楼0100店,天天00100,POS000100,FN000100,WM000100,主品牌,直营,天津,天津,新兴区,旗舰店,写字楼,新一线,325,90,A,2022-08-07,,营业中,FALSE,非新店,谢二,孔二,旗舰店
S00101,S00101_V1,2022-06-28,9999-12-31,1,重庆交通枢纽0101店,重重00101,POS000101,FN000101,WM000101,主品牌,加盟,重庆,重庆,老城区,快取店,交通枢纽,新一线,43,9,C,2022-06-28,,营业中,FALSE,非新店,邹二,孔二,快取店
S00102,S00102_V1,2024-06-04,9999-12-31,1,重庆社区0102店,重重00102,POS000102,FN000102,WM000102,子品牌-精品,直营,重庆,重庆,核心区,外卖店,社区,新一线,33,0,C,2024-06-04,,营业中,FALSE,非新店,喻二,孔二,外卖卫星店
S00103,S00103_V1,2023-02-22,9999-12-31,1,深圳写字楼0103店,广深00103,POS000103,FN000103,WM000103,主品牌,加盟,广东,深圳,商业区,快取店,写字楼,一线,34,4,C,2023-02-22,,营业中,FALSE,非新店,柏二,孔二,快取店
S00104,S00104_V1,2024-07-22,9999-12-31,1,太原购物中心0104店,山太00104,POS000104,FN000104,WM000104,主品牌,直营,山西,太原,文教区,快取店,购物中心,二线,32,6,C,2024-07-22,,营业中,FALSE,非新店,窦二,孔二,快取店
