合同ID,加盟商ID,门店ID,门店类型,签约日期,合同期年数,到期日,分成模型,流水抽成率,年加盟费,装修标准,装修投入金额,设备投入金额,加盟费金额,保证金金额,总投资额,续约状态,合同状态
CTR00016,F0016,S00032,外卖卫星店,2021-07-06,5,2026-07-05,纯固定加盟费,0.0,30000,A,770534,450000,250000,80000,1470534,未到期,生效中
CTR00017,F0017,S00033,写字楼店,2025-05-27,5,2030-05-26,固定加盟费+流水分成,0.056,50000,A,806837,300000,150000,100000,1256837,未到期,生效中
CTR00018,F0018,S00034,交通店,2021-05-21,5,2026-05-20,固定加盟费+流水分成,0.045,50000,B,476698,300000,150000,50000,926698,已续约,生效中
CTR00019,F0019,S00038,外卖卫星店,2020-11-27,3,2023-11-27,流水分成,0.057,0,C,313441,150000,250000,80000,713441,已退出,已终止
CTR00020,F0020,S00039,外卖卫星店,2025-01-30,5,2030-01-29,固定加盟费+流水分成,0.049,50000,B,528162,300000,250000,80000,1078162,未到期,生效中
CTR00021,F0021,S00040,快取店,2022-12-27,8,2030-12-25,流水分成,0.07,0,B,486551,150000,150000,150000,786551,未到期,生效中
CTR00022,F0022,S00043,商场店,2021-05-30,8,2029-05-28,流水分成,0.068,0,B,492159,150000,250000,80000,892159,未到期,生效中
CTR00023,F0023,S00047,社区店,2025-04-04,5,2030-04-03,纯固定加盟费,0.0,50000,A,794795,150000,250000,80000,1194795,未到期,生效中
CTR00024,F0024,S00049,商场店,2024-07-18,3,2027-07-18,固定加盟费+流水分成,0.057,80000,B,489399,150000,150000,80000,789399,未到期,生效中
CTR00025,F0025,S00051,快取店,2023-09-21,3,2026-09-20,流水分成,0.042,0,C,307479,200000,80000,100000,587479,未到期,生效中
CTR00026,F0026,S00055,外卖卫星店,2021-04-09,5,2026-04-08,流水分成,0.055,0,B,504083,450000,150000,100000,1104083,已退出,已终止
CTR00027,F0027,S00057,商场店,2023-03-21,8,2031-03-19,固定加盟费+流水分成,0.062,120000,C,320176,200000,80000,50000,600176,未到期,生效中
CTR00028,F0028,S00060,写字楼店,2024-05-21,5,2029-05-20,固定加盟费+流水分成,0.048,80000,B,487323,300000,80000,100000,867323,未到期,生效中
CTR00029,F0029,S00061,商场店,2022-10-17,5,2027-10-16,固定加盟费+流水分成,0.055,120000,B,517719,200000,80000,100000,797719,未到期,生效中
CTR00030,F0030,S00062,外卖卫星店,2022-03-15,3,2025-03-14,固定加盟费+流水分成,0.041,120000,A,774438,150000,250000,50000,1174438,已退出,已终止
CTR00031,F0031,S00064,商场店,2024-09-14,5,2029-09-13,固定加盟费+流水分成,0.065,120000,B,522442,450000,150000,80000,1122442,未到期,生效中
CTR00032,F0032,S00065,快取店,2021-09-19,3,2024-09-18,流水分成,0.044,0,B,506058,150000,350000,50000,1006058,已续约,生效中
CTR00033,F0033,S00073,商场店,2025-07-09,8,2033-07-07,流水分成,0.06,0,C,322767,200000,80000,100000,602767,未到期,生效中
CTR00034,F0034,S00076,写字楼店,2022-06-24,8,2030-06-22,流水分成,0.048,0,B,489696,150000,150000,50000,789696,未到期,生效中
CTR00035,F0035,S00083,快取店,2023-10-25,8,2031-10-23,纯固定加盟费,0.0,120000,B,528948,150000,250000,150000,928948,未到期,生效中
CTR00036,F0036,S00085,快取店,2022-07-26,8,2030-07-24,流水分成,0.056,0,C,293788,150000,250000,100000,693788,未到期,生效中
CTR00037,F0037,S00086,外卖卫星店,2023-09-18,8,2031-09-16,流水分成,0.051,0,C,314895,150000,250000,50000,714895,未到期,生效中
CTR00038,F0038,S00087,外卖卫星店,2024-04-04,5,2029-04-03,固定加盟费+流水分成,0.051,30000,B,487953,200000,150000,100000,837953,未到期,生效中
CTR00039,F0039,S00089,外卖卫星店,2025-03-24,3,2028-03-23,固定加盟费+流水分成,0.041,30000,B,494532,150000,80000,80000,724532,未到期,生效中
CTR00040,F0040,S00090,快取店,2022-08-08,8,2030-08-06,固定加盟费+流水分成,0.056,50000,B,510194,200000,80000,150000,790194,未到期,生效中
CTR00041,F0041,S00092,写字楼店,2023-12-03,3,2026-12-02,固定加盟费+流水分成,0.078,80000,B,492857,150000,250000,100000,892857,未到期,生效中
CTR00042,F0042,S00093,写字楼店,2024-09-25,8,2032-09-23,固定加盟费+流水分成,0.062,50000,B,521651,450000,250000,100000,1221651,未到期,生效中
CTR00043,F0043,S00097,外卖卫星店,2024-04-03,5,2029-04-02,固定加盟费+流水分成,0.079,120000,B,486921,150000,150000,50000,786921,未到期,生效中
CTR00044,F0044,S00098,商场店,2024-02-08,8,2032-02-06,固定加盟费+流水分成,0.076,80000,B,517819,200000,350000,50000,1067819,未到期,生效中
CTR00045,F0045,S00101,快取店,2022-04-15,5,2027-04-14,纯固定加盟费,0.0,30000,B,528589,450000,350000,50000,1328589,未到期,生效中
CTR00046,F0046,S00103,快取店,2022-12-31,3,2025-12-30,纯固定加盟费,0.0,50000,B,514849,300000,250000,100000,1064849,已续约,生效中
CTR00047,F0047,S00107,快取店,2022-01-17,8,2030-01-15,固定加盟费+流水分成,0.044,80000,B,510725,450000,250000,100000,1210725,未到期,生效中
CTR00048,F0048,S00108,外卖卫星店,2023-02-25,3,2026-02-24,固定加盟费+流水分成,0.058,80000,B,502166,150000,350000,100000,1002166,已续约,生效中
CTR00049,F0049,S00111,写字楼店,2023-05-29,5,2028-05-27,固定加盟费+流水分成,0.071,50000,A,774291,200000,250000,80000,1224291,未到期,生效中
CTR00050,F0050,S00113,快取店,2023-09-27,5,2028-09-25,固定加盟费+流水分成,0.055,120000,C,316342,150000,150000,100000,616342,未到期,生效中
CTR00051,F0051,S00114,外卖卫星店,2023-09-06,8,2031-09-04,流水分成,0.055,0,C,297687,150000,350000,100000,797687,未到期,生效中
CTR00052,F0052,S00116,快取店,2023-04-13,5,2028-04-11,纯固定加盟费,0.0,50000,B,487170,300000,150000,100000,937170,未到期,生效中
CTR00053,F0053,S00119,快取店,2023-10-25,8,2031-10-23,固定加盟费+流水分成,0.061,50000,B,475436,150000,350000,150000,975436,未到期,生效中
CTR00054,F0054,S00124,快取店,2024-07-28,5,2029-07-27,纯固定加盟费,0.0,30000,B,495622,150000,350000,150000,995622,未到期,生效中
CTR00055,F0055,S00125,社区店,2025-04-27,5,2030-04-26,纯固定加盟费,0.0,30000,C,295475,200000,150000,150000,645475,未到期,生效中
CTR00056,F0056,S00127,外卖卫星店,2024-10-01,8,2032-09-29,流水分成,0.062,0,B,515483,300000,350000,100000,1165483,未到期,生效中
CTR00057,F0057,S00128,商场店,2021-08-29,5,2026-08-28,流水分成,0.08,0,A,807689,450000,150000,50000,1407689,未到期,生效中
CTR00058,F0058,S00132,外卖卫星店,2022-08-12,3,2025-08-11,流水分成,0.057,0,B,515124,300000,350000,80000,1165124,已退出,已终止
CTR00059,F0059,S00133,学校店,2023-03-15,5,2028-03-13,固定加盟费+流水分成,0.061,120000,B,509397,150000,80000,80000,739397,未到期,生效中
CTR00060,F0060,S00135,快取店,2025-04-03,8,2033-04-01,流水分成,0.069,0,B,477627,450000,250000,50000,1177627,未到期,生效中
CTR00061,F0061,S00138,快取店,2024-05-03,5,2029-05-02,固定加盟费+流水分成,0.046,50000,B,491919,450000,250000,80000,1191919,未到期,生效中
CTR00062,F0062,S00142,快取店,2021-12-29,5,2026-12-28,纯固定加盟费,0.0,120000,B,506768,300000,80000,150000,886768,未到期,生效中
CTR00063,F0063,S00144,快取店,2023-11-01,5,2028-10-30,固定加盟费+流水分成,0.071,80000,C,296971,450000,80000,50000,826971,未到期,生效中
CTR00064,F0064,S00145,外卖卫星店,2024-12-28,5,2029-12-27,纯固定加盟费,0.0,120000,A,774743,200000,350000,100000,1324743,未到期,生效中
CTR00065,F0065,S00148,快取店,2024-03-27,8,2032-03-25,流水分成,0.047,0,A,789694,200000,80000,80000,1069694,未到期,生效中
CTR00066,F0066,S00149,社区店,2025-05-20,5,2030-05-19,固定加盟费+流水分成,0.046,120000,C,310851,300000,350000,80000,960851,未到期,生效中
CTR00067,F0067,S00158,外卖卫星店,2024-07-17,5,2029-07-16,固定加盟费+流水分成,0.078,120000,B,483124,450000,350000,100000,1283124,未到期,生效中
CTR00068,F0068,S00159,外卖卫星店,2023-12-18,3,2026-12-17,固定加盟费+流水分成,0.042,30000,B,478039,300000,80000,50000,858039,未到期,生效中
CTR00069,F0069,S00160,商场店,2021-01-27,3,2024-01-27,纯固定加盟费,0.0,80000,B,495485,450000,350000,100000,1295485,已退出,已终止
CTR00070,F0070,S00167,社区店,2025-06-05,3,2028-06-04,流水分成,0.046,0,B,494891,150000,80000,80000,724891,未到期,生效中
CTR00071,F0071,S00168,外卖卫星店,2023-04-23,3,2026-04-22,固定加盟费+流水分成,0.078,80000,B,526458,450000,350000,150000,1326458,已续约,生效中
CTR00072,F0072,S00171,外卖卫星店,2025-05-27,5,2030-05-26,固定加盟费+流水分成,0.074,30000,B,526039,300000,350000,80000,1176039,未到期,生效中
CTR00073,F0073,S00172,写字楼店,2023-11-21,3,2026-11-20,固定加盟费+流水分成,0.04,120000,B,470310,200000,350000,150000,1020310,未到期,生效中
CTR00074,F0074,S00174,社区店,2021-04-17,5,2026-04-16,流水分成,0.047,0,B,497665,450000,350000,50000,1297665,已退出,已终止
CTR00075,F0075,S00175,商场店,2022-10-31,3,2025-10-30,流水分成,0.065,0,B,521678,200000,150000,80000,871678,已续约,生效中
CTR00076,F0076,S00180,写字楼店,2024-09-02,3,2027-09-02,流水分成,0.07,0,B,492241,300000,80000,100000,872241,未到期,生效中
CTR00077,F0077,S00181,外卖卫星店,2024-08-08,3,2027-08-08,固定加盟费+流水分成,0.04,80000,B,498401,300000,350000,150000,1148401,未到期,生效中
CTR00078,F0078,S00183,社区店,2022-11-26,8,2030-11-24,固定加盟费+流水分成,0.056,120000,B,500225,150000,350000,80000,1000225,未到期,生效中
CTR00079,F0079,S00190,社区店,2023-12-02,8,2031-11-30,固定加盟费+流水分成,0.043,80000,C,312883,450000,250000,150000,1012883,未到期,生效中
CTR00080,F0080,S00191,快取店,2023-05-16,5,2028-05-14,固定加盟费+流水分成,0.041,50000,A,784339,200000,250000,150000,1234339,未到期,生效中
CTR00081,F0081,S00192,社区店,2024-05-01,8,2032-04-29,固定加盟费+流水分成,0.043,50000,B,513300,150000,250000,80000,913300,未到期,生效中
CTR00082,F0082,S00194,快取店,2022-02-26,3,2025-02-25,固定加盟费+流水分成,0.067,30000,B,475746,450000,150000,150000,1075746,已退出,已终止
CTR00083,F0083,S00195,写字楼店,2025-04-09,5,2030-04-08,固定加盟费+流水分成,0.049,50000,B,497215,300000,150000,80000,947215,未到期,生效中
CTR00084,F0084,S00199,社区店,2024-10-18,8,2032-10-16,固定加盟费+流水分成,0.057,30000,B,513431,300000,150000,100000,963431,未到期,生效中
CTR00085,F0085,S00200,快取店,2021-07-23,8,2029-07-21,固定加盟费+流水分成,0.058,80000,B,521893,200000,250000,80000,971893,未到期,生效中
CTR00086,F0086,S00201,社区店,2025-05-23,8,2033-05-21,固定加盟费+流水分成,0.055,80000,B,492777,300000,80000,50000,872777,未到期,生效中
CTR00087,F0087,S00204,快取店,2021-08-05,5,2026-08-04,流水分成,0.079,0,A,825604,150000,350000,80000,1325604,未到期,生效中
CTR00088,F0088,S00214,商场店,2024-03-22,5,2029-03-21,流水分成,0.051,0,C,313596,150000,350000,80000,813596,未到期,生效中
CTR00089,F0089,S00216,快取店,2023-12-12,5,2028-12-10,流水分成,0.079,0,B,522111,450000,80000,100000,1052111,未到期,生效中
CTR00090,F0090,S00219,外卖卫星店,2023-06-17,5,2028-06-15,固定加盟费+流水分成,0.044,120000,B,476388,150000,250000,100000,876388,未到期,生效中
CTR00091,F0091,S00228,社区店,2024-04-20,5,2029-04-19,流水分成,0.057,0,B,505095,300000,350000,150000,1155095,未到期,生效中
CTR00092,F0092,S00234,商场店,2023-12-25,8,2031-12-23,流水分成,0.076,0,B,470790,300000,350000,80000,1120790,未到期,生效中
CTR00093,F0093,S00235,学校店,2021-03-04,8,2029-03-02,固定加盟费+流水分成,0.073,30000,B,513856,200000,350000,80000,1063856,未到期,生效中
CTR00094,F0094,S00237,社区店,2021-11-29,8,2029-11-27,固定加盟费+流水分成,0.048,80000,B,476964,300000,250000,50000,1026964,未到期,生效中
CTR00095,F0095,S00238,快取店,2021-12-03,5,2026-12-02,固定加盟费+流水分成,0.079,30000,B,521823,450000,80000,80000,1051823,未到期,生效中
CTR00096,F0096,S00239,社区店,2022-10-20,5,2027-10-19,流水分成,0.044,0,B,500835,150000,250000,100000,900835,未到期,生效中
CTR00097,F0097,S00241,快取店,2023-04-30,3,2026-04-29,固定加盟费+流水分成,0.077,30000,A,829440,450000,150000,150000,1429440,已续约,生效中
CTR00098,F0098,S00242,写字楼店,2022-08-01,8,2030-07-30,固定加盟费+流水分成,0.071,80000,C,303441,300000,350000,50000,953441,未到期,生效中
CTR00099,F0099,S00244,快取店,2023-04-23,8,2031-04-21,流水分成,0.065,0,B,508902,200000,80000,100000,788902,未到期,生效中
CTR00100,F0100,S00245,快取店,2023-01-28,3,2026-01-27,固定加盟费+流水分成,0.063,80000,A,779256,150000,80000,50000,1009256,已退出,已终止
CTR00101,F0101,S00246,社区店,2021-07-13,3,2024-07-12,固定加盟费+流水分成,0.04,120000,B,485964,450000,150000,50000,1085964,已续约,生效中
CTR00102,F0102,S00247,快取店,2024-08-25,3,2027-08-25,流水分成,0.052,0,B,514806,150000,80000,150000,744806,未到期,生效中
CTR00103,F0103,S00248,写字楼店,2022-08-01,5,2027-07-31,固定加盟费+流水分成,0.058,80000,A,814189,450000,350000,50000,1614189,未到期,生效中
CTR00104,F0104,S00249,社区店,2021-05-29,5,2026-05-28,固定加盟费+流水分成,0.067,120000,A,799391,200000,80000,150000,1079391,未到期,生效中
CTR00105,F0105,S00253,商场店,2024-04-19,5,2029-04-18,固定加盟费+流水分成,0.069,80000,B,502760,200000,150000,150000,852760,未到期,生效中
CTR00106,F0106,S00254,学校店,2024-10-03,3,2027-10-03,流水分成,0.057,0,B,503041,300000,150000,80000,953041,未到期,生效中
CTR00107,F0107,S00258,外卖卫星店,2023-08-26,3,2026-08-25,纯固定加盟费,0.0,80000,B,524377,450000,80000,80000,1054377,未到期,生效中
CTR00108,F0108,S00260,快取店,2022-09-18,5,2027-09-17,固定加盟费+流水分成,0.07,120000,A,781776,300000,80000,150000,1161776,未到期,生效中
CTR00109,F0109,S00262,社区店,2023-08-27,5,2028-08-25,固定加盟费+流水分成,0.076,30000,A,777878,150000,350000,50000,1277878,未到期,生效中
CTR00110,F0110,S00263,快取店,2021-08-24,3,2024-08-23,固定加盟费+流水分成,0.04,120000,B,513013,200000,150000,50000,863013,已续约,生效中
CTR00111,F0111,S00265,商场店,2021-09-27,8,2029-09-25,固定加盟费+流水分成,0.066,80000,B,479747,150000,150000,50000,779747,未到期,生效中
CTR00112,F0112,S00269,写字楼店,2022-06-19,8,2030-06-17,流水分成,0.07,0,B,497721,450000,80000,150000,1027721,未到期,生效中
CTR00113,F0113,S00271,外卖卫星店,2023-06-28,8,2031-06-26,流水分成,0.052,0,B,476507,150000,150000,50000,776507,未到期,生效中
CTR00114,F0114,S00274,写字楼店,2021-02-14,3,2024-02-14,流水分成,0.066,0,B,527762,150000,150000,50000,827762,已续约,生效中
CTR00115,F0115,S00276,写字楼店,2023-12-28,3,2026-12-27,纯固定加盟费,0.0,30000,B,510028,300000,80000,80000,890028,未到期,生效中
CTR00116,F0116,S00280,商场店,2024-11-14,5,2029-11-13,固定加盟费+流水分成,0.078,50000,B,510868,150000,350000,150000,1010868,未到期,生效中
CTR00117,F0117,S00282,商场店,2021-08-18,5,2026-08-17,纯固定加盟费,0.0,30000,C,320440,200000,250000,150000,770440,未到期,生效中
CTR00118,F0118,S00284,社区店,2025-04-10,3,2028-04-09,固定加盟费+流水分成,0.072,120000,B,494852,200000,150000,100000,844852,未到期,生效中
CTR00119,F0119,S00287,快取店,2021-08-30,5,2026-08-29,固定加盟费+流水分成,0.072,120000,B,471867,300000,250000,80000,1021867,未到期,生效中
CTR00120,F0120,S00288,快取店,2023-10-29,8,2031-10-27,流水分成,0.072,0,A,799907,450000,250000,50000,1499907,未到期,生效中
CTR00121,F0121,S00294,快取店,2023-06-25,8,2031-06-23,固定加盟费+流水分成,0.046,50000,B,510997,200000,150000,100000,860997,未到期,生效中
CTR00122,F0122,S00295,外卖卫星店,2022-11-15,5,2027-11-14,固定加盟费+流水分成,0.056,50000,A,798461,300000,150000,150000,1248461,未到期,生效中
CTR00123,F0123,S00298,外卖卫星店,2021-10-08,3,2024-10-07,固定加盟费+流水分成,0.063,30000,C,282443,200000,150000,50000,632443,已续约,生效中
CTR00124,F0124,S00300,外卖卫星店,2023-06-14,5,2028-06-12,固定加盟费+流水分成,0.045,30000,B,508386,450000,250000,150000,1208386,未到期,生效中
CTR00125,F0125,S00301,商场店,2024-06-19,8,2032-06-17,纯固定加盟费,0.0,50000,B,514828,150000,150000,100000,814828,未到期,生效中
CTR00126,F0126,S00302,商场店,2022-07-22,3,2025-07-21,流水分成,0.052,0,C,302723,450000,150000,80000,902723,已退出,已终止
CTR00127,F0127,S00303,学校店,2023-03-24,3,2026-03-23,固定加盟费+流水分成,0.047,120000,A,823618,150000,80000,80000,1053618,已退出,已终止
CTR00128,F0128,S00306,社区店,2024-06-15,8,2032-06-13,纯固定加盟费,0.0,80000,B,525003,300000,80000,80000,905003,未到期,生效中
CTR00129,F0129,S00307,快取店,2024-01-18,8,2032-01-16,纯固定加盟费,0.0,30000,C,316577,450000,250000,100000,1016577,未到期,生效中
CTR00130,F0130,S00309,外卖卫星店,2024-04-06,5,2029-04-05,纯固定加盟费,0.0,80000,B,470149,150000,350000,150000,970149,未到期,生效中
CTR00131,F0131,S00310,快取店,2021-05-07,5,2026-05-06,流水分成,0.057,0,B,511721,150000,350000,50000,1011721,已续约,生效中
CTR00132,F0132,S00311,交通店,2022-02-20,8,2030-02-18,流水分成,0.059,0,B,477463,150000,350000,150000,977463,未到期,生效中
CTR00133,F0133,S00313,外卖卫星店,2022-10-29,3,2025-10-28,固定加盟费+流水分成,0.055,120000,B,494985,150000,250000,100000,894985,已续约,生效中
CTR00134,F0134,S00315,外卖卫星店,2024-08-13,3,2027-08-13,流水分成,0.067,0,B,487086,150000,350000,150000,987086,未到期,生效中
CTR00135,F0135,S00316,学校店,2024-06-27,3,2027-06-27,固定加盟费+流水分成,0.074,80000,A,773543,150000,80000,50000,1003543,未到期,生效中
CTR00136,F0136,S00317,外卖卫星店,2020-12-29,5,2025-12-28,固定加盟费+流水分成,0.051,80000,B,479436,450000,80000,80000,1009436,已续约,生效中
CTR00137,F0137,S00318,社区店,2022-06-28,3,2025-06-27,纯固定加盟费,0.0,50000,C,325164,300000,250000,150000,875164,已退出,已终止
CTR00138,F0138,S00319,写字楼店,2021-12-06,5,2026-12-05,固定加盟费+流水分成,0.063,50000,C,325372,150000,350000,80000,825372,未到期,生效中
CTR00139,F0139,S00320,快取店,2024-09-04,5,2029-09-03,固定加盟费+流水分成,0.067,30000,A,810913,200000,150000,100000,1160913,未到期,生效中
CTR00140,F0140,S00323,外卖卫星店,2023-05-29,5,2028-05-27,纯固定加盟费,0.0,80000,B,477570,300000,350000,80000,1127570,未到期,生效中
CTR00141,F0141,S00327,社区店,2024-05-30,3,2027-05-30,流水分成,0.061,0,B,512950,300000,250000,50000,1062950,未到期,生效中
CTR00142,F0001,S00328,快取店,2023-02-13,3,2026-02-12,纯固定加盟费,0.0,80000,B,500306,450000,350000,150000,1300306,已续约,生效中
CTR00143,F0002,S00330,商场店,2023-07-13,5,2028-07-11,固定加盟费+流水分成,0.067,50000,B,520983,200000,150000,100000,870983,未到期,生效中
CTR00144,F0003,S00331,写字楼店,2024-05-17,3,2027-05-17,流水分成,0.069,0,B,500832,200000,350000,80000,1050832,未到期,生效中
CTR00145,F0004,S00332,社区店,2024-10-13,8,2032-10-11,固定加盟费+流水分成,0.044,30000,B,504322,150000,150000,80000,804322,未到期,生效中
CTR00146,F0005,S00338,写字楼店,2021-09-18,8,2029-09-16,固定加盟费+流水分成,0.074,120000,C,327163,150000,80000,50000,557163,未到期,生效中
CTR00147,F0006,S00339,快取店,2024-04-22,8,2032-04-20,固定加盟费+流水分成,0.061,80000,C,274071,150000,150000,150000,574071,未到期,生效中
CTR00148,F0007,S00341,商场店,2023-10-11,5,2028-10-09,固定加盟费+流水分成,0.075,50000,B,490232,150000,250000,100000,890232,未到期,生效中
CTR00149,F0008,S00343,外卖卫星店,2022-01-17,3,2025-01-16,流水分成,0.072,0,A,818861,300000,80000,50000,1198861,已续约,生效中
CTR00150,F0009,S00344,写字楼店,2022-12-07,5,2027-12-06,固定加盟费+流水分成,0.047,50000,B,513218,450000,350000,150000,1313218,未到期,生效中
CTR00151,F0010,S00345,快取店,2022-05-18,8,2030-05-16,固定加盟费+流水分成,0.065,80000,A,816313,450000,80000,50000,1346313,未到期,生效中
CTR00152,F0011,S00346,快取店,2022-02-28,3,2025-02-27,固定加盟费+流水分成,0.078,50000,A,807919,450000,150000,80000,1407919,已退出,已终止
CTR00153,F0012,S00347,写字楼店,2023-07-25,3,2026-07-24,固定加盟费+流水分成,0.062,80000,B,517142,200000,150000,80000,867142,未到期,生效中
CTR00154,F0013,S00352,快取店,2022-09-13,3,2025-09-12,固定加盟费+流水分成,0.073,80000,A,805517,200000,250000,100000,1255517,已退出,已终止
CTR00155,F0014,S00353,快取店,2023-01-09,5,2028-01-08,固定加盟费+流水分成,0.044,30000,A,790078,200000,150000,100000,1140078,未到期,生效中
CTR00156,F0015,S00359,写字楼店,2021-08-22,5,2026-08-21,纯固定加盟费,0.0,50000,A,770306,450000,80000,50000,1300306,未到期,生效中
CTR00157,F0016,S00364,写字楼店,2021-02-21,3,2024-02-21,流水分成,0.061,0,B,472920,450000,150000,100000,1072920,已退出,已终止
CTR00158,F0017,S00366,学校店,2022-12-11,3,2025-12-10,纯固定加盟费,0.0,30000,A,827486,200000,150000,150000,1177486,已退出,已终止
CTR00159,F0018,S00367,学校店,2024-11-01,3,2027-11-01,固定加盟费+流水分成,0.049,50000,A,780717,200000,150000,50000,1130717,未到期,生效中
CTR00160,F0019,S00369,交通店,2025-07-14,3,2028-07-13,流水分成,0.045,0,C,274246,150000,250000,100000,674246,未到期,生效中
CTR00161,F0020,S00372,外卖卫星店,2021-12-23,8,2029-12-21,流水分成,0.059,0,C,321336,200000,150000,80000,671336,未到期,生效中
CTR00162,F0021,S00373,写字楼店,2024-07-31,3,2027-07-31,固定加盟费+流水分成,0.05,50000,A,771018,200000,150000,100000,1121018,未到期,生效中
CTR00163,F0022,S00376,外卖卫星店,2022-12-27,8,2030-12-25,纯固定加盟费,0.0,50000,C,282181,200000,350000,50000,832181,未到期,生效中
CTR00164,F0023,S00380,写字楼店,2024-11-08,8,2032-11-06,固定加盟费+流水分成,0.075,120000,A,783454,450000,350000,100000,1583454,未到期,生效中
CTR00165,F0024,S00382,快取店,2022-07-13,5,2027-07-12,固定加盟费+流水分成,0.048,120000,A,789186,200000,80000,80000,1069186,未到期,生效中
CTR00166,F0025,S00384,外卖卫星店,2020-12-11,5,2025-12-10,流水分成,0.048,0,B,478522,300000,150000,50000,928522,已续约,生效中
CTR00167,F0026,S00385,写字楼店,2023-02-08,5,2028-02-07,固定加盟费+流水分成,0.057,120000,B,493642,150000,150000,150000,793642,未到期,生效中
CTR00168,F0027,S00387,外卖卫星店,2025-02-25,3,2028-02-25,纯固定加盟费,0.0,80000,C,312262,200000,350000,100000,862262,未到期,生效中
CTR00169,F0028,S00388,外卖卫星店,2022-07-12,5,2027-07-11,固定加盟费+流水分成,0.046,80000,B,518757,150000,250000,100000,918757,未到期,生效中
CTR00170,F0029,S00389,快取店,2021-09-13,3,2024-09-12,纯固定加盟费,0.0,80000,B,496520,200000,150000,80000,846520,已续约,生效中
CTR00171,F0030,S00391,快取店,2023-08-11,8,2031-08-09,固定加盟费+流水分成,0.051,50000,A,828737,450000,150000,100000,1428737,未到期,生效中
CTR00172,F0031,S00392,外卖卫星店,2024-09-05,5,2029-09-04,纯固定加盟费,0.0,50000,C,292785,450000,150000,150000,892785,未到期,生效中
CTR00173,F0032,S00395,写字楼店,2024-08-18,3,2027-08-18,固定加盟费+流水分成,0.077,80000,B,483456,300000,350000,150000,1133456,未到期,生效中
CTR00174,F0033,S00396,快取店,2023-05-08,8,2031-05-06,纯固定加盟费,0.0,50000,B,521467,450000,250000,80000,1221467,未到期,生效中
CTR00175,F0034,S00399,学校店,2021-05-27,3,2024-05-26,固定加盟费+流水分成,0.067,50000,A,823518,450000,350000,80000,1623518,已退出,已终止
CTR00176,F0035,S00400,快取店,2023-02-23,3,2026-02-22,流水分成,0.064,0,C,313684,200000,80000,80000,593684,已退出,已终止
CTR00177,F0036,S00403,学校店,2022-05-31,5,2027-05-30,固定加盟费+流水分成,0.068,80000,B,484077,200000,150000,150000,834077,未到期,生效中
CTR00178,F0037,S00405,写字楼店,2022-02-28,8,2030-02-26,流水分成,0.05,0,C,293948,200000,250000,80000,743948,未到期,生效中
CTR00179,F0038,S00406,快取店,2023-02-02,8,2031-01-31,固定加盟费+流水分成,0.043,80000,A,801597,200000,350000,50000,1351597,未到期,生效中
